user_id,username,severity,category,reported_by,reported_by_id,reason,evidence
1334454587490439182,"the best cream (thebestcream)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1478083925925695610_0.png"
742274334785273974,"CherrySnipes (cherrysnipes_1)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","No image evidence - message content: `742274334785273974`"
474780704907984906,"Emery (emery_.24)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","No image evidence - message content: `474780704907984906`"
1379615381572030516,"Vanzyn🙄 (vaneassarichardson_00488)",high,other,"collectonian",508695212554715177,"Various red flags - reported by collectonian","https://certifriedmultitool.com/evidence/1450642219668078767_0.png"
1230836294926733345,"𝐀𝐏𝐄𝐗 𝐅𝐔𝐒𝐈𝐎𝐍 𝐏𝐑𝐎𝐌𝐎 (apex_fusion)",high,other,"death420",365905620060340224,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1443991201329184859_0.png"
400202288028844032,"fatmanztv (fatmanztv)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1439337084761411765_0.png"
999954938786488351,"Anne (annesoler28_)",high,other,"joehew",174920468309082113,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1436521183150604389_0.png"
663325527586635797,"𝔉𝔬xy! (foxyslyyy_)",high,other,"foxvann",742452227104571414,"Various red flags - reported by foxvann","https://certifriedmultitool.com/evidence/1396157987105538148_0.png"
1209828735587586132,"Brandon Larned (aseagullow.)",high,other,"death420",365905620060340224,"Various red flags - reported by death420","No image evidence - message content: User ID: 1209828735587586132"
337872932372086784,"Jokemern (jokemern)",high,other,"wrench105",805389643801034762,"Various red flags - reported by wrench105","https://certifriedmultitool.com/evidence/1344093026343059457_0.png"
1060061384651571250,"deleted_user_20ce59d5dd15 (deleted_user_20ce59d5dd15)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1329067142531907676_0.png"
1321942670117048362,"deleted_user_1bd133ef9612 (deleted_user_1bd133ef9612)",high,other,"death420",365905620060340224,"Various red flags - reported by death420","No image evidence - message content: <@1321942670117048362> 
User ID: 1321942670117048362

Impersonation of a Twitch Partner / Phishing attempts"
838870528394788904,"deleted_user_8ca1b1e91081 (deleted_user_8ca1b1e91081)",high,other,"joehew",174920468309082113,"Various red flags - reported by joehew","https://certifriedmultitool.com/evidence/1291725789494116424_0.jpg"
889550752123613194,"Unknown/Deleted User",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388412950777886_0.png"
899865437267963924,"Unknown/Deleted User",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388412950777886_0.png"
1262388118422552597,"Unknown/Deleted User",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388412950777886_0.png"
1168964497680109710,"deleted_user_7bbb318d0e89 (deleted_user_7bbb318d0e89)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1262388118422552597_0.png"
962489445259571300,"deleted_user_47a0384bbf8e (deleted_user_47a0384bbf8e)",high,other,"wrench105",805389643801034762,"Various red flags - reported by wrench105","https://certifriedmultitool.com/evidence/1260323422274326548_0.png"
1252296565050179736,"deleted_user_2dc2ca99fca5 (deleted_user_2dc2ca99fca5)",high,other,"orsokuma",685127470625980501,"Various red flags - reported by orsokuma","https://certifriedmultitool.com/evidence/1257515800928190485_0.png"
344360533090238475,"i420Guy (i420guy)",high,other,"death420",365905620060340224,"Various red flags - reported by death420","https://certifriedmultitool.com/evidence/1256452609657667635_0.png"
1176584054418702407,"Emma Bella (emmabella.14)",high,other,"sheepwego",784142127171895306,"Various red flags - reported by sheepwego","https://certifriedmultitool.com/evidence/1242948105863827527_0.png"
1234980523068100711,"Hazel Vtuber (hazelvtuber0265)",high,other,"collectonian",508695212554715177,"Various red flags - reported by collectonian","No image evidence - message content: 1234980523068100711"
